Metric,Value,Shock,Fees,Volatility,Shocked Price,Net PnL
VaR Long (250d),"45,349.61",,,,,
VaR Short (60d),"45,349.61",,,,,
VaR Intraday (1h),"28,137.45",,,,,
,,-0.2,1.0,1.0,69207.732,-100600.00000000003
,,-0.2,1.0,1.5,69207.732,-100700.00000000003
,,-0.2,1.0,2.0,69207.732,-100800.00000000003
,,-0.2,1.5,1.0,69207.732,-100800.00000000003
,,-0.2,1.5,1.5,69207.732,-100900.00000000003
,,-0.2,1.5,2.0,69207.732,-101000.00000000003
,,-0.2,2.0,1.0,69207.732,-101000.00000000003
,,-0.2,2.0,1.5,69207.732,-101100.00000000003
,,-0.2,2.0,2.0,69207.732,-101200.00000000003
,,-0.1,1.0,1.0,77858.69850000001,-50674.99999999997
,,-0.1,1.0,1.5,77858.69850000001,-50787.49999999997
,,-0.1,1.0,2.0,77858.69850000001,-50899.99999999997
,,-0.1,1.5,1.0,77858.69850000001,-50899.99999999997
,,-0.1,1.5,1.5,77858.69850000001,-51012.49999999997
,,-0.1,1.5,2.0,77858.69850000001,-51124.99999999997
,,-0.1,2.0,1.0,77858.69850000001,-51124.99999999997
,,-0.1,2.0,1.5,77858.69850000001,-51237.49999999997
,,-0.1,2.0,2.0,77858.69850000001,-51349.99999999997
,,0.1,1.0,1.0,95160.63150000002,49175.00000000005
,,0.1,1.0,1.5,95160.63150000002,49037.50000000005
,,0.1,1.0,2.0,95160.63150000002,48900.00000000005
,,0.1,1.5,1.0,95160.63150000002,48900.00000000005
,,0.1,1.5,1.5,95160.63150000002,48762.50000000005
,,0.1,1.5,2.0,95160.63150000002,48625.00000000005
,,0.1,2.0,1.0,95160.63150000002,48625.00000000005
,,0.1,2.0,1.5,95160.63150000002,48487.50000000005
,,0.1,2.0,2.0,95160.63150000002,48350.00000000005
,,0.2,1.0,1.0,103811.59800000001,99100.00000000003
,,0.2,1.0,1.5,103811.59800000001,98950.00000000003
,,0.2,1.0,2.0,103811.59800000001,98800.00000000003
,,0.2,1.5,1.0,103811.59800000001,98800.00000000003
,,0.2,1.5,1.5,103811.59800000001,98650.00000000003
,,0.2,1.5,2.0,103811.59800000001,98500.00000000003
,,0.2,2.0,1.0,103811.59800000001,98500.00000000003
,,0.2,2.0,1.5,103811.59800000001,98350.00000000003
,,0.2,2.0,2.0,103811.59800000001,98200.00000000003
