Metric,Value,Shock,Fees,Volatility,Shocked Price,Net PnL
VaR Long (250d),"45,349.61",,,,,
VaR Short (60d),"45,349.61",,,,,
VaR Intraday (1h),"28,137.45",,,,,
,,-0.2,1.0,1.0,69058.90000000001,-100599.99999999996
,,-0.2,1.0,1.5,69058.90000000001,-100699.99999999996
,,-0.2,1.0,2.0,69058.90000000001,-100799.99999999996
,,-0.2,1.5,1.0,69058.90000000001,-100799.99999999996
,,-0.2,1.5,1.5,69058.90000000001,-100899.99999999996
,,-0.2,1.5,2.0,69058.90000000001,-100999.99999999996
,,-0.2,2.0,1.0,69058.90000000001,-100999.99999999996
,,-0.2,2.0,1.5,69058.90000000001,-101099.99999999996
,,-0.2,2.0,2.0,69058.90000000001,-101199.99999999996
,,-0.1,1.0,1.0,77691.2625,-50675.00000000002
,,-0.1,1.0,1.5,77691.2625,-50787.50000000002
,,-0.1,1.0,2.0,77691.2625,-50900.00000000002
,,-0.1,1.5,1.0,77691.2625,-50900.00000000002
,,-0.1,1.5,1.5,77691.2625,-51012.50000000002
,,-0.1,1.5,2.0,77691.2625,-51125.00000000002
,,-0.1,2.0,1.0,77691.2625,-51125.00000000002
,,-0.1,2.0,1.5,77691.2625,-51237.50000000002
,,-0.1,2.0,2.0,77691.2625,-51350.00000000002
,,0.1,1.0,1.0,94955.9875,49175.00000000002
,,0.1,1.0,1.5,94955.9875,49037.50000000002
,,0.1,1.0,2.0,94955.9875,48900.00000000002
,,0.1,1.5,1.0,94955.9875,48900.00000000002
,,0.1,1.5,1.5,94955.9875,48762.50000000002
,,0.1,1.5,2.0,94955.9875,48625.00000000002
,,0.1,2.0,1.0,94955.9875,48625.00000000002
,,0.1,2.0,1.5,94955.9875,48487.50000000002
,,0.1,2.0,2.0,94955.9875,48350.00000000002
,,0.2,1.0,1.0,103588.34999999999,99099.99999999996
,,0.2,1.0,1.5,103588.34999999999,98949.99999999996
,,0.2,1.0,2.0,103588.34999999999,98799.99999999996
,,0.2,1.5,1.0,103588.34999999999,98799.99999999996
,,0.2,1.5,1.5,103588.34999999999,98649.99999999996
,,0.2,1.5,2.0,103588.34999999999,98499.99999999996
,,0.2,2.0,1.0,103588.34999999999,98499.99999999996
,,0.2,2.0,1.5,103588.34999999999,98349.99999999996
,,0.2,2.0,2.0,103588.34999999999,98199.99999999996
