Metric,Value,Shock,Fees,Volatility,Shocked Price,Net PnL
VaR Long (250d),"45,349.61",,,,,
VaR Short (60d),"45,349.61",,,,,
VaR Intraday (1h),"28,137.45",,,,,
,,-0.2,1.0,1.0,69948.956,-100600.0
,,-0.2,1.0,1.5,69948.956,-100700.0
,,-0.2,1.0,2.0,69948.956,-100800.0
,,-0.2,1.5,1.0,69948.956,-100800.0
,,-0.2,1.5,1.5,69948.956,-100900.0
,,-0.2,1.5,2.0,69948.956,-101000.0
,,-0.2,2.0,1.0,69948.956,-101000.0
,,-0.2,2.0,1.5,69948.956,-101100.0
,,-0.2,2.0,2.0,69948.956,-101200.0
,,-0.1,1.0,1.0,78692.5755,-50675.0
,,-0.1,1.0,1.5,78692.5755,-50787.5
,,-0.1,1.0,2.0,78692.5755,-50900.0
,,-0.1,1.5,1.0,78692.5755,-50900.0
,,-0.1,1.5,1.5,78692.5755,-51012.5
,,-0.1,1.5,2.0,78692.5755,-51125.0
,,-0.1,2.0,1.0,78692.5755,-51125.0
,,-0.1,2.0,1.5,78692.5755,-51237.5
,,-0.1,2.0,2.0,78692.5755,-51350.0
,,0.1,1.0,1.0,96179.81450000002,49175.00000000009
,,0.1,1.0,1.5,96179.81450000002,49037.50000000009
,,0.1,1.0,2.0,96179.81450000002,48900.00000000009
,,0.1,1.5,1.0,96179.81450000002,48900.00000000009
,,0.1,1.5,1.5,96179.81450000002,48762.50000000009
,,0.1,1.5,2.0,96179.81450000002,48625.00000000009
,,0.1,2.0,1.0,96179.81450000002,48625.00000000009
,,0.1,2.0,1.5,96179.81450000002,48487.50000000009
,,0.1,2.0,2.0,96179.81450000002,48350.00000000009
,,0.2,1.0,1.0,104923.43400000001,99100.0
,,0.2,1.0,1.5,104923.43400000001,98950.0
,,0.2,1.0,2.0,104923.43400000001,98800.0
,,0.2,1.5,1.0,104923.43400000001,98800.0
,,0.2,1.5,1.5,104923.43400000001,98650.0
,,0.2,1.5,2.0,104923.43400000001,98500.0
,,0.2,2.0,1.0,104923.43400000001,98500.0
,,0.2,2.0,1.5,104923.43400000001,98350.0
,,0.2,2.0,2.0,104923.43400000001,98200.0
