Metric,Value,Shock,Fees,Volatility,Shocked Price,Net PnL
VaR Long (250d),"45,349.61",,,,,
VaR Short (60d),"45,349.61",,,,,
VaR Intraday (1h),"28,137.45",,,,,
,,-0.2,1.0,1.0,69048.14,-100599.99999999994
,,-0.2,1.0,1.5,69048.14,-100699.99999999994
,,-0.2,1.0,2.0,69048.14,-100799.99999999994
,,-0.2,1.5,1.0,69048.14,-100799.99999999994
,,-0.2,1.5,1.5,69048.14,-100899.99999999994
,,-0.2,1.5,2.0,69048.14,-100999.99999999994
,,-0.2,2.0,1.0,69048.14,-100999.99999999994
,,-0.2,2.0,1.5,69048.14,-101099.99999999994
,,-0.2,2.0,2.0,69048.14,-101199.99999999994
,,-0.1,1.0,1.0,77679.15749999999,-50675.000000000015
,,-0.1,1.0,1.5,77679.15749999999,-50787.500000000015
,,-0.1,1.0,2.0,77679.15749999999,-50900.000000000015
,,-0.1,1.5,1.0,77679.15749999999,-50900.000000000015
,,-0.1,1.5,1.5,77679.15749999999,-51012.500000000015
,,-0.1,1.5,2.0,77679.15749999999,-51125.000000000015
,,-0.1,2.0,1.0,77679.15749999999,-51125.000000000015
,,-0.1,2.0,1.5,77679.15749999999,-51237.500000000015
,,-0.1,2.0,2.0,77679.15749999999,-51350.000000000015
,,0.1,1.0,1.0,94941.19249999999,49175.000000000015
,,0.1,1.0,1.5,94941.19249999999,49037.500000000015
,,0.1,1.0,2.0,94941.19249999999,48900.000000000015
,,0.1,1.5,1.0,94941.19249999999,48900.000000000015
,,0.1,1.5,1.5,94941.19249999999,48762.500000000015
,,0.1,1.5,2.0,94941.19249999999,48625.000000000015
,,0.1,2.0,1.0,94941.19249999999,48625.000000000015
,,0.1,2.0,1.5,94941.19249999999,48487.500000000015
,,0.1,2.0,2.0,94941.19249999999,48350.000000000015
,,0.2,1.0,1.0,103572.20999999998,99099.99999999994
,,0.2,1.0,1.5,103572.20999999998,98949.99999999994
,,0.2,1.0,2.0,103572.20999999998,98799.99999999994
,,0.2,1.5,1.0,103572.20999999998,98799.99999999994
,,0.2,1.5,1.5,103572.20999999998,98649.99999999994
,,0.2,1.5,2.0,103572.20999999998,98499.99999999994
,,0.2,2.0,1.0,103572.20999999998,98499.99999999994
,,0.2,2.0,1.5,103572.20999999998,98349.99999999994
,,0.2,2.0,2.0,103572.20999999998,98199.99999999994
